combo_idx,neurons,ranks,n_prompts,abs_bias_before,signed_bias_before,gender_mass_before,abs_bias_after,signed_bias_after,gender_mass_after,abs_bias_delta,signed_bias_delta,abs_bias_reduction_pct
76,L11N2607;L0N399;L10N369;L9N1503;L10N2178,1;3;5;7;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08402830895263627,0.05394512082697818,0.1820364162736256,0.01257044298476756,0.0043926322384691616,13.01304906393949
77,L11N2607;L0N399;L10N369;L9N1503;L11N1623,1;3;5;7;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08803547785227471,0.057510219655760926,0.1888751839954372,0.008563274085129122,0.0008275334096864151,8.864787498163682
78,L11N2607;L0N399;L10N369;L10N1162;L10N2178,1;3;5;8;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08570191430747585,0.05538699804711952,0.18822626014496932,0.010896837629927977,0.0029507550183278178,11.28051596048482
79,L11N2607;L0N399;L10N369;L10N1162;L11N1623,1;3;5;8;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08974970129503573,0.05913179304290555,0.19548372606472228,0.006849050642368099,-0.000794039977458208,7.090206141386067
80,L11N2607;L0N399;L10N369;L10N2178;L11N1623,1;3;5;9;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08610156509010002,0.05683600242109531,0.18690306568617263,0.010497186847303816,0.0015017506443520331,10.866793448952645
81,L11N2607;L0N399;L9N255;L9N1503;L10N1162,1;3;6;7;8,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08493343121161301,0.05314091959611009,0.19079136356426257,0.011665320725790823,0.0051968334693372545,12.076057393940218
82,L11N2607;L0N399;L9N255;L9N1503;L10N2178,1;3;6;7;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08127539874101852,0.0511105141604261,0.18231834139506345,0.015323353196385309,0.007227238905021242,15.862889415294797
83,L11N2607;L0N399;L9N255;L9N1503;L11N1623,1;3;6;7;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08527917039498277,0.05461762012185953,0.18929990931311447,0.011319581542421062,0.003720132943587813,11.71814471242462
84,L11N2607;L0N399;L9N255;L10N1162;L10N2178,1;3;6;8;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08295602199077372,0.05242881239774973,0.18850041983088867,0.013642729946630114,0.005908940667697614,14.123091316408134
85,L11N2607;L0N399;L9N255;L10N1162;L11N1623,1;3;6;8;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08701718995502819,0.056088539576864674,0.19589581627895683,0.009581561982375641,0.0022492134885826673,9.91892937559329
86,L11N2607;L0N399;L9N255;L10N2178;L11N1623,1;3;6;9;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08337080087096398,0.053913698965121215,0.18717910536354532,0.013227951066439855,0.004424054100326126,13.693708046053837
87,L11N2607;L0N399;L9N1503;L10N1162;L10N2178,1;3;7;8;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08661715890879224,0.05481702499444486,0.18829802884096655,0.009981593028611596,0.0035207280710024824,10.333045539842676
88,L11N2607;L0N399;L9N1503;L10N1162;L11N1623,1;3;7;8;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.0906857024110066,0.058463748804654964,0.1952262885851487,0.005913049526397235,-0.00012599573920762247,6.121248367917737
89,L11N2607;L0N399;L9N1503;L10N2178;L11N1623,1;3;7;9;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08690446509335116,0.05621107601347537,0.1868170173502119,0.009694286844052671,0.002126677051971969,10.035623286659632
90,L11N2607;L0N399;L10N1162;L10N2178;L11N1623,1;3;8;9;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08873791751141807,0.05777229091704271,0.19332979889270213,0.007860834425985758,0.0005654621484046315,8.137614894941493
91,L11N2607;L10N379;L10N369;L9N255;L9N1503,1;4;5;6;7,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08320579636771688,0.05260162300880661,0.18560211610675936,0.013392955569686948,0.005736130056640733,13.864522368120872
92,L11N2607;L10N379;L10N369;L9N255;L10N1162,1;4;5;6;8,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08472004547216622,0.053966938057635964,0.19206287377718276,0.011878706465237615,0.004370815007811377,12.29695645854207
93,L11N2607;L10N379;L10N369;L9N255;L10N2178,1;4;5;6;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08104890041889455,0.05181841709893551,0.18303167668989287,0.01554985151850928,0.00651933596651183,16.097362757425287
94,L11N2607;L10N379;L10N369;L9N255;L11N1623,1;4;5;6;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08500275481459274,0.05534205200291913,0.19023713763247446,0.011595997122811091,0.0029957010625282082,12.004292902588762
95,L11N2607;L10N379;L10N369;L9N1503;L10N1162,1;4;5;7;8,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08899000597916834,0.05687006109266662,0.19214863432516252,0.007608745958235491,0.0014676919727807242,7.876650376565913
96,L11N2607;L10N379;L10N369;L9N1503;L10N2178,1;4;5;7;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.0851627346859972,0.054654619994338474,0.18346365841441475,0.011436017251406638,0.003683133071108867,11.838680129963997
97,L11N2607;L10N379;L10N369;L9N1503;L11N1623,1;4;5;7;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08911831665057725,0.058158416396920334,0.19015618924516814,0.007480435286826584,0.00017933666852700675,7.743821878437849
98,L11N2607;L10N379;L10N369;L10N1162;L10N2178,1;4;5;8;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08678576757139256,0.0560760564633429,0.18979765870744517,0.009812984366011274,0.0022616966021044432,10.158500155747463
99,L11N2607;L10N379;L10N369;L10N1162;L11N1623,1;4;5;8;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.09078455438646668,0.05976423690752189,0.19694657003445584,0.00581419755093715,-0.0014264838420745482,6.018915808254708
100,L11N2607;L10N379;L10N369;L10N2178;L11N1623,1;4;5;9;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08698450664774532,0.05738148455287703,0.1880017238668049,0.009614245289658513,0.0009562685125703088,9.952763464157965
101,L11N2607;L10N379;L9N255;L9N1503;L10N1162,1;4;6;7;8,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.0858651522716814,0.053541312820351614,0.1919205111526024,0.010733599665722432,0.0047964402450957275,11.111530377408833
102,L11N2607;L10N379;L9N255;L9N1503;L10N2178,1;4;6;7;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08204856522702515,0.05141272763085596,0.18309994500261484,0.01455018671037868,0.006925025434591378,15.06249968923742
103,L11N2607;L10N379;L9N255;L9N1503;L11N1623,1;4;6;7;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08598795280956621,0.054847979715563225,0.18991497836978222,0.01061079912783762,0.0034897733498841163,10.98440602494889
104,L11N2607;L10N379;L9N255;L10N1162;L10N2178,1;4;6;8;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08367161449407545,0.05272355581535217,0.18943352292635685,0.01292713744332838,0.005614197250095168,13.382302756566865
105,L11N2607;L10N379;L9N255;L10N1162;L11N1623,1;4;6;8;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.087667755059972,0.056322348808773494,0.19670073879428934,0.008930996877431832,0.0020154042566738473,9.24545783284978
106,L11N2607;L10N379;L9N255;L10N2178;L11N1623,1;4;6;9;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08387880895741731,0.054049865132814304,0.18762733697284428,0.01271994297998652,0.004287887932633037,13.167812963286593
107,L11N2607;L10N379;L9N1503;L10N1162;L10N2178,1;4;7;8;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08762077634661646,0.055304144309119736,0.18948570325261296,0.008977975590787377,0.003033608756327605,9.294090669623891
108,L11N2607;L10N379;L9N1503;L10N1162;L11N1623,1;4;7;8;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.09162008533164727,0.058878936134249424,0.19625487484046705,0.004978666605756563,-0.0005411830688020827,5.153965766537799
