layer,neuron,neuron_id,mean_activation,gender_logit_weight,proxy_score,abs_proxy_score
4,2422,L4N2422,0.8564003860196945,-1.4272162914276123,-1.222268582912204,1.222268582912204
9,253,L9N253,0.4089856445133178,-2.9622859954833984,-1.211532447095553,1.211532447095553
7,1871,L7N1871,0.7595543927682394,-1.5950350761413574,-1.2115158987025914,1.2115158987025914
7,1698,L7N1698,0.38171910172393175,3.1545403003692627,1.2041482898088969,1.2041482898088969
1,407,L1N407,1.2626453253836107,0.9530318975448608,1.2033412703764907,1.2033412703764907
10,1396,L10N1396,1.1078350851994236,1.084736704826355,1.201709379810247,1.201709379810247
8,2084,L8N2084,0.2918614212255885,-4.087983131408691,-1.1931245666791723,1.1931245666791723
10,1425,L10N1425,0.7758756963260318,-1.5056381225585938,-1.168188026755168,1.168188026755168
11,598,L11N598,0.775838728295573,1.4913007020950317,1.1570088402197045,1.1570088402197045
7,1398,L7N1398,0.4164297936385641,2.7763142585754395,1.1561399737743734,1.1561399737743734
9,78,L9N78,0.5786877899557691,1.9728339910507202,1.1416549422307607,1.1416549422307607
4,990,L4N990,0.51309840040376,-2.214144706726074,-1.136074107283601,1.136074107283601
11,1611,L11N1611,3.098659998517145,0.360708624124527,1.1177133846948282,1.1177133846948282
9,1043,L9N1043,0.6162724709312897,-1.8104497194290161,-1.11573032208938,1.11573032208938
3,2913,L3N2913,0.4419292385328101,2.5076904296875,1.108221722067812,1.108221722067812
7,1294,L7N1294,0.5559754323575187,1.9549051523208618,1.086879237279532,1.086879237279532
6,1985,L6N1985,0.6654721852372115,1.6326415538787842,1.0864775425687911,1.0864775425687911
6,3039,L6N3039,0.7747250635346229,-1.3885693550109863,-1.0757594817831166,1.0757594817831166
9,3063,L9N3063,1.7082390679035928,0.62788987159729,1.0725860090034613,1.0725860090034613
5,1049,L5N1049,0.741316845999311,1.4463852643966675,1.072229762302417,1.072229762302417
10,1512,L10N1512,0.1861434855346998,-5.676259517669678,-1.0565987314185479,1.0565987314185479
2,2015,L2N2015,0.6112334177067335,1.7273173332214355,1.0557940770490186,1.0557940770490186
7,159,L7N159,1.4133207357403907,-0.7456028461456299,-1.053775963084671,1.053775963084671
11,1829,L11N1829,0.7270227829867508,1.4431524276733398,1.0492046942411573,1.0492046942411573
4,1472,L4N1472,0.3498803591680454,-2.9863533973693848,-1.0448663992743128,1.0448663992743128
10,2775,L10N2775,0.9456390662510371,1.1044769287109375,1.0444365315620243,1.0444365315620243
8,1978,L8N1978,0.4793987043498749,2.1281886100769043,1.020250862283029,1.020250862283029
1,1524,L1N1524,0.48730270417237825,-2.0927517414093018,-1.0198035827502063,1.0198035827502063
11,965,L11N965,0.7006056680160162,-1.4509758949279785,-1.0165619361411533,1.0165619361411533
8,1286,L8N1286,0.9235620881684802,1.1002287864685059,1.0161295954939262,1.0161295954939262
5,1777,L5N1777,-0.1272358517310667,7.957459449768066,-1.0124741307066651,1.0124741307066651
11,2214,L11N2214,0.3269581859291065,3.0887491703033447,1.0098918255124145,1.0098918255124145
8,737,L8N737,0.8929596853781153,1.1205445528030396,1.0006011113231632,1.0006011113231632
7,2444,L7N2444,0.482955302900386,2.0509705543518066,0.9905271053167494,0.9905271053167494
5,735,L5N735,0.9377381234620275,1.0562556982040405,0.9904912363299305,0.9904912363299305
4,380,L4N380,1.0294430992290886,0.9596713781356812,0.9879270777494462,0.9879270777494462
2,773,L2N773,0.36589544215239583,2.682676076889038,0.9815789493049693,0.9815789493049693
4,2430,L4N2430,0.24559357948697155,3.995084762573242,0.9811671671942205,0.9811671671942205
3,1336,L3N1336,0.5652691693536884,1.725799798965454,0.9755414188319648,0.9755414188319648
7,1440,L7N1440,0.33407037877682755,2.9195456504821777,0.9753337213128205,0.9753337213128205
7,1376,L7N1376,0.7608425234529105,-1.2648934125900269,-0.9623846959339595,0.9623846959339595
1,734,L1N734,0.4993907204453452,-1.9097293615341187,-0.9537011217121526,0.9537011217121526
0,645,L0N645,0.8614450318783136,-1.0995827913284302,-0.9472301327287646,0.9472301327287646
1,2931,L1N2931,1.2124974191485143,-0.7674145698547363,-0.930488185365835,0.930488185365835
10,1230,L10N1230,0.6494957409041242,1.4235740900039673,0.9246053083190411,0.9246053083190411
10,316,L10N316,0.7258926521902719,1.2722350358963013,0.9235060644161519,0.9235060644161519
4,1567,L4N1567,0.6743543448236199,-1.36566162109375,-0.9209398477434384,0.9209398477434384
9,2494,L9N2494,0.3733206378173319,2.463331937789917,0.9196126501715359,0.9196126501715359
11,740,L11N740,2.0719109948385848,-0.4330899715423584,-0.8973238737929422,0.8973238737929422
10,2673,L10N2673,0.47292804937863947,1.8912160396575928,0.894409112588861,0.894409112588861
8,928,L8N928,0.40954664718900113,2.1750433444976807,0.8907817092297766,0.8907817092297766
11,1275,L11N1275,0.8039878572098049,1.1043198108673096,0.8878597184135453,0.8878597184135453
8,133,L8N133,0.557146004281433,-1.5930622816085815,-0.8875682847696842,0.8875682847696842
8,1401,L8N1401,0.46323129012433295,1.9135663509368896,0.8864238094830075,0.8864238094830075
9,627,L9N627,0.756225311640777,-1.1691112518310547,-0.8841115207586783,0.8841115207586783
8,2940,L8N2940,0.32445188530642055,-2.7016005516052246,-0.8765393923131808,0.8765393923131808
10,113,L10N113,0.43784645511795217,1.9965076446533203,0.8741637948273484,0.8741637948273484
8,803,L8N803,0.3068794088623277,-2.8311269283294678,-0.8688145581799646,0.8688145581799646
10,3045,L10N3045,2.441897589002143,-0.35559532046318054,-0.8683273556994849,0.8683273556994849
2,474,L2N474,0.4770462009465766,-1.8187787532806396,-0.8676414946148802,0.8676414946148802
5,1640,L5N1640,0.7135868590906532,1.2155439853668213,0.8673962146044449,0.8673962146044449
0,842,L0N842,0.5546015513552861,1.5559755563735962,0.8629464574357009,0.8629464574357009
7,383,L7N383,0.2877785810506876,-2.9864988327026367,-0.8594503963846997,0.8594503963846997
5,177,L5N177,0.28481042775105464,3.004185438156128,0.8556233396847363,0.8556233396847363
11,1261,L11N1261,0.6170702485519954,-1.3840208053588867,-0.8540380623639411,0.8540380623639411
